#freq, s11_mag, s21_mag, s11_mp_mag, s21_mp_mag
41472945.8918, -0.21430247411, -25.5201711645, -7.47012184546, -4.60642710715
41671342.6854, -0.214192010288, -25.5345824032, -7.45315035277, -4.61904773501
41869739.479, -0.213960683089, -25.5429139046, -7.47436324267, -4.62341822543
42068136.2725, -0.213687508527, -25.5482531048, -7.51478816822, -4.62401970958
42266533.0661, -0.21342842864, -25.5531980762, -7.55885034065, -4.62444734853
42464929.8597, -0.213205925442, -25.5591798141, -7.59807478464, -4.62654216815
42663326.6533, -0.213011544384, -25.5662517202, -7.63248115469, -4.63021616182
42861723.4469, -0.212820782362, -25.5734375328, -7.66844853519, -4.63405800384
43060120.2405, -0.212615212338, -25.5795493704, -7.71348543073, -4.63654285857
43258517.0341, -0.212403815336, -25.5842210545, -7.76962890426, -4.63744970387
43456913.8277, -0.212235217932, -25.5888034661, -7.82751840413, -4.63898472225
43655310.6212, -0.212194353592, -25.5967579632, -7.86350688845, -4.64612698202
43853707.4148, -0.212380535273, -25.6132647726, -7.84313503678, -4.66585051238
44052104.2084, -0.212869743927, -25.6439527271, -7.73370156864, -4.70517237942
44250501.002, -0.213672296161, -25.6929664491, -7.52252747617, -4.76844921579
44448897.7956, -0.214704289142, -25.7609454964, -7.22870971966, -4.85484507958
44647294.5892, -0.215789916443, -25.8436979435, -6.89800342227, -4.95706678653
44845691.3828, -0.216698254432, -25.9321986799, -6.58557410898, -5.0620370148
45044088.1764, -0.217200384394, -26.0140460649, -6.3405897582, -5.15334929992
45242484.9699, -0.217124995238, -26.0759758521, -6.20027938378, -5.21470846715
45440881.7635, -0.216398119925, -26.1067926268, -6.19136993643, -5.23350039036
45639278.5571, -0.215066372327, -26.1001868246, -6.33317693594, -5.20400254826
45837675.3507, -0.213310247864, -26.0571193945, -6.63671425339, -5.13007168541
